dataset,shape_class,model_name,split
ShapeNet,faucet,78763ba6006732c754d7082b34825ef0,train
ShapeNet,faucet,70b9b63ce547031276d20e73c57c9a03,train
ShapeNet,faucet,4ce9747bda12fba68616812464c86290,train
ShapeNet,faucet,f92135b11ed446bed42b9650f19dd425,test
ShapeNet,faucet,876f08c390a7528ac36fb70296e45483,train
ShapeNet,faucet,bafb5f206f100bffabd7f138f3335c2b,train
ShapeNet,faucet,d440dce04ceb8b83b362845c6edb57fc,train
ShapeNet,faucet,465491e7cfd3e0b198a7e0d99b5bf4c9,train
ShapeNet,faucet,72861dc714b3dbe2b362845c6edb57fc,train
ShapeNet,faucet,76824ba9aa51eca28ca4aeb5e3b33af7,test
ShapeNet,faucet,516eed82a6a512d6b362845c6edb57fc,train
ShapeNet,faucet,7bbfca0420c26d692db5d63410b93a87,train
ShapeNet,faucet,990ca49fe2a40eee5c19b45944d27e3b,train
ShapeNet,faucet,32afa83cf029cbd414b35a7d7cea7130,train
ShapeNet,faucet,d7c83d555374c3b27fde87eb01f5851,train
ShapeNet,faucet,9199954a99393c6e6d0157e3e7a8917c,train
ShapeNet,faucet,d1a30eb29847c0d6c36fb70296e45483,train
ShapeNet,faucet,d1971a4133203c8976c18e71fd49c4dc,train
ShapeNet,faucet,b3565dc2c1e46134b362845c6edb57fc,train
ShapeNet,faucet,f2a2ad135f62a8351875e8709de3862a,train
ShapeNet,faucet,cb80870b4c80d9c4b0bf85736b51ccfc,train
ShapeNet,faucet,cd0b16a0ee7ca94269fb38085fbc320c,train
ShapeNet,faucet,f0d703dcfae9e2aaf38c4a12750d961b,train
ShapeNet,faucet,b039d06d4776f9f9fd24893a94b85cfe,train
ShapeNet,faucet,194ad4c66c27718b603f99a15dbe4cf7,train
ShapeNet,faucet,21c83317b5617925b48d1e811c2d60b8,train
ShapeNet,faucet,4352119300b754d4e3f7a74e12a274ef,train
ShapeNet,faucet,c01e1d2a113e9f65d93da2c1c55e2c1a,train
ShapeNet,faucet,935514d63bb8c70e3321831d2245cf06,train
ShapeNet,faucet,dfbd28a1b03b488950da8b99982a3057,val
ShapeNet,faucet,fcfe9beedd2970f3b362845c6edb57fc,train
ShapeNet,faucet,c4c8a8f2ce62f6f4c36fb70296e45483,train
ShapeNet,faucet,39333e9f93d3d3696d0157e3e7a8917c,train
ShapeNet,faucet,f5e2551d23370d93c36fb70296e45483,train
ShapeNet,faucet,7ae63b6abb0eb0f4b362845c6edb57fc,train
ShapeNet,faucet,a695ea6dcd5e85b03321831d2245cf06,train
ShapeNet,faucet,e45586f848a038243321831d2245cf06,train
ShapeNet,faucet,574a71125f559fbeb362845c6edb57fc,train
ShapeNet,faucet,5ae7c06613656ce8db0923ddab67dd72,train
ShapeNet,faucet,af92e8fc813b826550da8b99982a3057,train
ShapeNet,faucet,576e6b3d7b188fe9b362845c6edb57fc,train
ShapeNet,faucet,24b8bfb0ce76421b362845c6edb57fc,train
ShapeNet,faucet,1a3a4611409e306c1a832e2972cd1e0d,train
ShapeNet,faucet,84496aa6efb270c9b362845c6edb57fc,train
ShapeNet,faucet,d1383f1ba0a348726f893b5bc716a3fa,train
ShapeNet,faucet,e6a64eb10a355f02aa3dee53ca79e7b0,train
ShapeNet,faucet,33135d27972e8d496c5fbe25b434bf62,train
ShapeNet,faucet,81ca48ee431c29d472101dcac4ed75d3,train
ShapeNet,faucet,dbe7761882240c7a3321831d2245cf06,train
ShapeNet,faucet,4eca4ca3fc1a63ba50da8b99982a3057,train
ShapeNet,faucet,3f99e84747ae5e0216f1e46eb2815c0b,train
ShapeNet,faucet,1e5712458907fe06b362845c6edb57fc,train
ShapeNet,faucet,4a44ef4b181f1101b362845c6edb57fc,train
ShapeNet,faucet,416dd83d7a18d2543321831d2245cf06,train
ShapeNet,faucet,5ae9420bed69471576c18e71fd49c4dc,val
ShapeNet,faucet,721de72c2dd58fb33321831d2245cf06,test
ShapeNet,faucet,12eb51d74f30c3c054d7082b34825ef0,test
ShapeNet,faucet,7d1c4b0c119adf6914b35a7d7cea7130,train
ShapeNet,faucet,a63d9ab718a0427fc36fb70296e45483,train
ShapeNet,faucet,79a4a16b4062810c4f50865b470f2168,train
ShapeNet,faucet,bcf485906e70fb0e50da8b99982a3057,train
ShapeNet,faucet,7b1678602d33579254d7082b34825ef0,train
ShapeNet,faucet,7f45c771a4cd5ca614b35a7d7cea7130,train
ShapeNet,faucet,d613fbb4f7e4cf6a9ba4d8847eef9270,train
ShapeNet,faucet,1554a9af8847c2bf14b35a7d7cea7130,train
ShapeNet,faucet,a515d60008ac9cd5175c399a4380a866,train
ShapeNet,faucet,272582c1e1fd8a7876d20e73c57c9a03,train
ShapeNet,faucet,f6b1ca2df0be11bdb362845c6edb57fc,train
ShapeNet,faucet,6102c9de80e5625eb362845c6edb57fc,train
ShapeNet,faucet,b8e9b70818bef88814b35a7d7cea7130,train
ShapeNet,faucet,d7616893b24c10a2f6f4bab4c9f7b677,train
ShapeNet,faucet,ce69c6b309dc055eb362845c6edb57fc,train
ShapeNet,faucet,903a72db42df53f5669f229cc42f76,train
ShapeNet,faucet,61c12f5b031b80beb362845c6edb57fc,train
ShapeNet,faucet,908bae8a91cc3af72a38aae7db90ad57,train
ShapeNet,faucet,1f223cac61e3679ef235ab3c41aeb5b6,train
ShapeNet,faucet,f17f569ccdf9e9e85b1c02ea3a290822,train
ShapeNet,faucet,b89336e1f0e8aa3d76c18e71fd49c4dc,train
ShapeNet,faucet,c63ab53b4ec1bfa83321831d2245cf06,train
ShapeNet,faucet,228a2b60a63135eec36fb70296e45483,train
ShapeNet,faucet,d35b4af3d4e779d4c36fb70296e45483,train
ShapeNet,faucet,e9dc5059372ef82e7843fb4efdc19510,train
ShapeNet,faucet,a7c12a4d02bf3614378f7f7b635ccd96,train
ShapeNet,faucet,a2154893d949e1053321831d2245cf06,train
ShapeNet,faucet,b7ca2740aaae2d2c908061a998e20526,train
ShapeNet,faucet,a9411c894038543ec36fb70296e45483,train
ShapeNet,faucet,7aefdb866624662114b35a7d7cea7130,train
ShapeNet,faucet,f2c9422c2c427a8f3321831d2245cf06,train
ShapeNet,faucet,1170e12f08a5f2952dc86760e17ef6c,train
ShapeNet,faucet,bf1a08ed8d7a09833321831d2245cf06,train
ShapeNet,faucet,5cc1d274e57dcef73321831d2245cf06,train
ShapeNet,faucet,7837cd8d1e5e69d4b362845c6edb57fc,train
ShapeNet,faucet,356f8deac817eab7a0a07918e742ff41,train
ShapeNet,faucet,4fbb6add41adf7eb843f813f752a5e35,train
ShapeNet,faucet,71a0a8c0c7d749fc4c586a3fab372c5d,test
ShapeNet,faucet,5b0049fff25483854e0738735f157c3,train
ShapeNet,faucet,d75e4ebefbed7f50317551e5a477d434,train
ShapeNet,faucet,b17ff4c76129d106742cb5615ada39cb,train
ShapeNet,faucet,c1c670ecd6f00497c4cbb2ffd574f216,train
ShapeNet,faucet,9b65733ed1e66f1dcf87dab359f38253,test
ShapeNet,faucet,1fa1f1515365ecb0b362845c6edb57fc,test
ShapeNet,faucet,589cc2df7bf5a6243d7d93e47bfee597,train
ShapeNet,faucet,d9e07672c0ee46cc3321831d2245cf06,train
ShapeNet,faucet,f988ec7ece669319b362845c6edb57fc,test
ShapeNet,faucet,eea4dfd9dc2a08c3979c556124bee033,val
ShapeNet,faucet,c5de940102fa0cdb50da8b99982a3057,test
ShapeNet,faucet,24f5bd8d409c7d89b229726a165222c0,train
ShapeNet,faucet,465ec9636301436b7a867e9b35a1295,train
ShapeNet,faucet,c4b98fbd29336c5276c18e71fd49c4dc,train
ShapeNet,faucet,c34723e92771fc5b7a867e9b35a1295,train
ShapeNet,faucet,5184b95d850acc92f84537dcf9baed45,train
ShapeNet,faucet,e70d5905fe100117b362845c6edb57fc,train
ShapeNet,faucet,e10b62f9792ecdc1b362845c6edb57fc,val
ShapeNet,faucet,384ac965e52b16c5b0957d845ac33749,train
ShapeNet,faucet,bd23c02e78913855b362845c6edb57fc,train
ShapeNet,faucet,4335832712076999d84cdc7f15b1ee59,train
ShapeNet,faucet,5ba6bb8365b474f773ecd661ad15c4dd,test
ShapeNet,faucet,83c02a3da44759c73321831d2245cf06,train
ShapeNet,faucet,a85bdfab2e46ae2ab7728045d0c829bc,val
ShapeNet,faucet,13e1e13465fa1a67b362845c6edb57fc,val
ShapeNet,faucet,42c5ef82f8d7e3b050da8b99982a3057,train
ShapeNet,faucet,1396874a375c365e3eef3cf37d74e423,train
ShapeNet,faucet,a4ae53ecdfdf393593ed75a828b3d239,train
ShapeNet,faucet,eb5a55c6f9887aceb3425db9d50d5dff,test
ShapeNet,faucet,839b652592f066cd31ee592be5c5c0f1,train
ShapeNet,faucet,78a7613f9eeb866ec36fb70296e45483,train
ShapeNet,faucet,6f2fcfb9f844979f87dd60af81c93a3c,train
ShapeNet,faucet,227084bd966b704d50da8b99982a3057,train
ShapeNet,faucet,6c692c34625914a64cc3b7bdfa613934,train
ShapeNet,faucet,804b09dad62f32653321831d2245cf06,train
ShapeNet,faucet,80d6971df918758f871adc8ea82b7293,train
ShapeNet,faucet,d3aa2eeb7641d99fb9101063463c970d,test
ShapeNet,faucet,2781a072e2645ccdedf1aa83ea962bc0,val
ShapeNet,faucet,9797db191dd9813b14b35a7d7cea7130,train
ShapeNet,faucet,b56699547687adf76c18e71fd49c4dc,test
ShapeNet,faucet,32d86098142a1662842514f9336b4377,train
ShapeNet,faucet,74d1b8b026ed9dea3321831d2245cf06,train
ShapeNet,faucet,9a4a7de766558e343321831d2245cf06,train
ShapeNet,faucet,752773b189f2557986a0e7208530ce22,train
ShapeNet,faucet,cacb193f82cbaba0b362845c6edb57fc,val
ShapeNet,faucet,7d6baf6cdeab0db93321831d2245cf06,train
ShapeNet,faucet,a3999e8953b3274ab362845c6edb57fc,train
ShapeNet,faucet,7d44ccb1ef1ddb483321831d2245cf06,train
ShapeNet,faucet,2439d924018a3b198616812464c86290,train
ShapeNet,faucet,6909b927f7712ee7f235ab3c41aeb5b6,train
ShapeNet,faucet,80b9619326f25bac3321831d2245cf06,train
ShapeNet,faucet,e452db5f61ea4593321831d2245cf06,train
ShapeNet,faucet,bc30d9336c644592ff2c92c2a4f65876,train
ShapeNet,faucet,4a77b3d8bca397c5f6c00faf69d13ed1,test
ShapeNet,faucet,92637cff21142487d84d1b7b18d6e7c7,train
ShapeNet,faucet,567eb00396cdb60214b35a7d7cea7130,train
ShapeNet,faucet,b33ff042286d575af51945de050323d3,train
ShapeNet,faucet,7224a70801bec99c3321831d2245cf06,test
ShapeNet,faucet,667db69a5d07b34f50da8b99982a3057,train
ShapeNet,faucet,c956fdc19b02782bb7a867e9b35a1295,train
ShapeNet,faucet,3a30f6f46c4f1774e4e346ee2650d150,train
ShapeNet,faucet,a8a40aa426ecf89754d7082b34825ef0,train
ShapeNet,faucet,f5768e78c91ac91dd5fb864340bb146,val
ShapeNet,faucet,a76a5fef802be0b5b362845c6edb57fc,val
ShapeNet,faucet,320e3c136e71c412b0957d845ac33749,train
ShapeNet,faucet,458b641a644595ecb362845c6edb57fc,train
ShapeNet,faucet,97a5a1bd8e59e98ce2f066782346a992,train
ShapeNet,faucet,2d47bde73180097d76d20e73c57c9a03,train
ShapeNet,faucet,869d5441e74a94b3251c40136771148c,train
ShapeNet,faucet,912dc428abd8cca1c36fb70296e45483,train
ShapeNet,faucet,4baadfa07397fff83321831d2245cf06,train
ShapeNet,faucet,2712bb3da10799b150da8b99982a3057,train
ShapeNet,faucet,7b6c6838bc4bd4d33321831d2245cf06,train
ShapeNet,faucet,a447d1bd3dea48ae54d7082b34825ef0,train
ShapeNet,faucet,cdd72ac0d6def4e8b362845c6edb57fc,train
ShapeNet,faucet,c23d9166bdeec5e5b362845c6edb57fc,val
ShapeNet,faucet,1943c8dfb6d5f0bb362845c6edb57fc,train
ShapeNet,faucet,7719e435d30b6aed50da8b99982a3057,train
ShapeNet,faucet,ec3a09d4e06843823321831d2245cf06,test
ShapeNet,faucet,677080f1736892d7de9f0235251bc840,train
ShapeNet,faucet,c72b179913088d6d76c18e71fd49c4dc,train
ShapeNet,faucet,73349e2e4982b3aac36fb70296e45483,train
ShapeNet,faucet,a06f174eba7c6553b362845c6edb57fc,train
ShapeNet,faucet,653ac1e615b18b19b362845c6edb57fc,train
ShapeNet,faucet,7d2092c9bdaa6b6054d7082b34825ef0,train
ShapeNet,faucet,aee1330150624d22ef4cb84a0218bebe,train
ShapeNet,faucet,4be2cb4c94a4ae9f3321831d2245cf06,test
ShapeNet,faucet,1f00e3c311882a8866279f6cdc4d0486,train
ShapeNet,faucet,29e597c4e5cf1612b05296093fcb87fa,train
ShapeNet,faucet,a9bb6bb33cc438413321831d2245cf06,train
ShapeNet,faucet,cba9093647736733275d003e423c59ba,train
ShapeNet,faucet,b9816227a0b977c9b362845c6edb57fc,train
ShapeNet,faucet,8aebc9a91265216e843f813f752a5e35,train
ShapeNet,faucet,1c684a5a113c4536b7a867e9b35a1295,test
ShapeNet,faucet,c15d54b2a98d4debb36717b39afb6ad8,train
ShapeNet,faucet,b68106b79d8b98b95268c5e200a25358,train
ShapeNet,faucet,efb3a634efc20f9a4d4b39461684fdf9,train
ShapeNet,faucet,832cd41e86b6820869a59c3b42f34f2,train
ShapeNet,faucet,4162e08b1662a6cb3321831d2245cf06,train
ShapeNet,faucet,bc42f9907e3478553321831d2245cf06,train
ShapeNet,faucet,ddebdd166c4562e7c36fb70296e45483,val
ShapeNet,faucet,e6c895dfe3150772b7a867e9b35a1295,train
ShapeNet,faucet,49532a66e2ae68c6ec846e583adcece4,test
ShapeNet,faucet,49553eee4f0403f850da8b99982a3057,train
ShapeNet,faucet,b6a6a851039907c433a676b484a36f68,train
ShapeNet,faucet,9df6805f555e98fe944fd4e41cc8d418,train
ShapeNet,faucet,e08ed186843c83bfb7a867e9b35a1295,train
ShapeNet,faucet,8b5fb07c0ca26bf4b362845c6edb57fc,test
ShapeNet,faucet,86c6af80c470a805eb69804478f9c547,train
ShapeNet,faucet,ef853be8e39805d4589577ccf07b31e7,test
ShapeNet,faucet,940eb228aa016a3a6d86099178635a1e,train
ShapeNet,faucet,b8d46728c6f3b0bf76d20e73c57c9a03,train
ShapeNet,faucet,fbe2cc8e19ad7a13b362845c6edb57fc,train
ShapeNet,faucet,4bcbe4f02228788d50da8b99982a3057,train
ShapeNet,faucet,aa53b268354b84a1b7a867e9b35a1295,train
ShapeNet,faucet,6a8665f6cac2eaf73321831d2245cf06,val
ShapeNet,faucet,d8f173b9cf9b84c728486e67fcce75da,train
ShapeNet,faucet,53270b19da085eb1b362845c6edb57fc,train
ShapeNet,faucet,1c5b1091af3106fa2c3adce840300a4c,train
ShapeNet,faucet,5978d6e26b9db10db362845c6edb57fc,test
ShapeNet,faucet,3be00bc0418fa112b362845c6edb57fc,train
ShapeNet,faucet,6e1051dae8109411b362845c6edb57fc,test
ShapeNet,faucet,eec7f9256d78d41ac5e10683f58486dc,train
ShapeNet,faucet,b2a3d57b66ec42f350da8b99982a3057,val
ShapeNet,faucet,99e55a6a9ab18d31cc9c4c1909a0f80,train
ShapeNet,faucet,1e038dfd194d74863321831d2245cf06,test
ShapeNet,faucet,497e448f82ef1ad3321831d2245cf06,train
ShapeNet,faucet,d49e9fdb4246026ed93768e7b9b1eabf,train
ShapeNet,faucet,1a5586fc147de3214b35a7d7cea7130,train
ShapeNet,faucet,ffbce2bc2d46ad8c3c8d0fdfb1cc2535,train
ShapeNet,faucet,f1d5eb645eada0c03321831d2245cf06,train
ShapeNet,faucet,2b06f6839c637fb54d7082b34825ef0,train
ShapeNet,faucet,b7c6df3b5836ea6a76d20e73c57c9a03,train
ShapeNet,faucet,ea8d250e3363377c36fb70296e45483,train
ShapeNet,faucet,1db4071178f5818250da8b99982a3057,train
ShapeNet,faucet,14269c9440e416d6b7a867e9b35a1295,train
ShapeNet,faucet,56c35d8a53c2c5d9fb930e40572ccf2f,train
ShapeNet,faucet,153159f63d195bf576d20e73c57c9a03,train
ShapeNet,faucet,49a6f4ee7fabf08cb362845c6edb57fc,test
ShapeNet,faucet,ecc6eab80e50ea2014b35a7d7cea7130,train
ShapeNet,faucet,54eda983813a7168bad9bd0c4ab8e3c,train
ShapeNet,faucet,a4bb5d2f36b1319f50da8b99982a3057,train
ShapeNet,faucet,486fd6e4809c8c59b362845c6edb57fc,train
ShapeNet,faucet,a61075356271eb72979c556124bee033,train
ShapeNet,faucet,a0642a6b2849d4f5b362845c6edb57fc,train
ShapeNet,faucet,8cecc2d6db8756683321831d2245cf06,train
ShapeNet,faucet,e9c737ddba0610f33321831d2245cf06,train
ShapeNet,faucet,a1b38345041badc5b362845c6edb57fc,train
ShapeNet,faucet,6ff015e04892ffee7adc0d0db36f4fc8,train
ShapeNet,faucet,427cdfd5eba597ba14b35a7d7cea7130,train
ShapeNet,faucet,3e208d2bcf317a2b362845c6edb57fc,train
ShapeNet,faucet,f0bb725ec0ddbc7eca25b2e822a430b0,train
ShapeNet,faucet,2003d9e8ba083c4e2f066782346a992,val
ShapeNet,faucet,1d5be60c3915be4b362845c6edb57fc,train
ShapeNet,faucet,c9c3fce5cf0e964f116162acefe23592,train
ShapeNet,faucet,3a86bbcb33d39bc72636ff7d41908032,train
ShapeNet,faucet,e53c6ac72d0f1bc13321831d2245cf06,train
ShapeNet,faucet,c69047a5a9a995b1c36fb70296e45483,train
ShapeNet,faucet,71fa90c64528cd58b362845c6edb57fc,train
ShapeNet,faucet,ae3c54f6a88813d214b35a7d7cea7130,train
ShapeNet,faucet,7b24ed5898c4971450da8b99982a3057,train
ShapeNet,faucet,9b68d5578e58f8c46d0157e3e7a8917c,train
ShapeNet,faucet,6b23fe58eecdc1946048f75ed36a5ac0,train
ShapeNet,faucet,ba1d52a1f3ea97f7ff8848ee936b8531,train
ShapeNet,faucet,fef67b0b5fee52a1843f813f752a5e35,train
ShapeNet,faucet,2007abffa44d274d25074a00e97604c0,val
ShapeNet,faucet,5d7475a12087aba3176bf371ba7a6ff,train
ShapeNet,faucet,1bec5441a4a0fc3d6af014d294c0e7c5,train
ShapeNet,faucet,66c916bcb881f8b13321831d2245cf06,test
ShapeNet,faucet,7f10cd36ec471aacb7a867e9b35a1295,train
ShapeNet,faucet,d40acf58d3ab13763321831d2245cf06,train
ShapeNet,faucet,b405f1da8275fd1214b35a7d7cea7130,val
ShapeNet,faucet,4f9b778e5bc6e251a8f6851a5d3f13b6,train
ShapeNet,faucet,310875f409f511ecb482922dfbcdcc,train
ShapeNet,faucet,1fbbe439f321bc2fb362845c6edb57fc,train
ShapeNet,faucet,eaceb24407c702da3321831d2245cf06,train
ShapeNet,faucet,30597a40e0756ea650da8b99982a3057,train
ShapeNet,faucet,abce921108990509251c40136771148c,train
ShapeNet,faucet,9fca1d6653e2bcc914b35a7d7cea7130,test
ShapeNet,faucet,61a58b21c73a7f7db362845c6edb57fc,train
ShapeNet,faucet,e762df4624be42054c62bee40dcdc539,train
ShapeNet,faucet,e1e7f5f1d431e77f6d0157e3e7a8917c,train
ShapeNet,faucet,d24b5c4d9635352c76c18e71fd49c4dc,train
ShapeNet,faucet,3dccc5e096aa99e4fe2ecb70903654e9,train
ShapeNet,faucet,a48b7d5d965f8cfeb362845c6edb57fc,train
ShapeNet,faucet,b0f7fc62dfea232f14b35a7d7cea7130,train
ShapeNet,faucet,d79fbf2a080e30a2b362845c6edb57fc,train
ShapeNet,faucet,69c012fcf92a926414b35a7d7cea7130,test
ShapeNet,faucet,aef73acaaf17e0b614b35a7d7cea7130,train
ShapeNet,faucet,95d17d2a88d82812b362845c6edb57fc,train
ShapeNet,faucet,bcf2c837460a391954d7082b34825ef0,test
ShapeNet,faucet,d9e81180a1dbd0a550da8b99982a3057,train
ShapeNet,faucet,13b8c245f4fdf1238d28f213d83c9d3e,train
ShapeNet,faucet,f4c37e34ea1d940a50da8b99982a3057,train
ShapeNet,faucet,4492ee234374c85914b35a7d7cea7130,train
ShapeNet,faucet,17025bbed6ac4e92f25bf4040d22848a,train
ShapeNet,faucet,a37a43fd956d1ea73ec0850b5880d3f,train
ShapeNet,faucet,957c49fda3109da9c36fb70296e45483,test
ShapeNet,faucet,31b197f507561fe7c91cb0beedee33fd,train
ShapeNet,faucet,d0c1d926a69a0d186d0157e3e7a8917c,train
ShapeNet,faucet,6136a19b81e5e70954d7082b34825ef0,train
ShapeNet,faucet,efaff4f34573d23caac6c989b01c7,train
ShapeNet,faucet,5ded149f15be08af526fd4dfffaede08,train
ShapeNet,faucet,95cfff8a4333c320a70cb86be490e5e,train
ShapeNet,faucet,ee2f338a166b799ebca5df27f3ec6373,train
ShapeNet,faucet,e8a23ca5394733a0b362845c6edb57fc,train
ShapeNet,faucet,f403e37ca7831479b362845c6edb57fc,train
ShapeNet,faucet,91b9542a41c2c80dfcff3f0bf2219ec7,test
ShapeNet,faucet,d4939c7a314174e276c18e71fd49c4dc,train
ShapeNet,faucet,3a32f3b62d76fbd8b362845c6edb57fc,train
ShapeNet,faucet,70cf2fcc591044323321831d2245cf06,train
ShapeNet,faucet,495fc62a822f66116f893b5bc716a3fa,train
ShapeNet,faucet,c8f05f1ff6b10463b55b46d261fe0021,train
ShapeNet,faucet,346a94616fa138bb85d4c34ee84c24a9,train
ShapeNet,faucet,d799034e7a417a97b362845c6edb57fc,val
ShapeNet,faucet,240b8336c85be71750da8b99982a3057,train
ShapeNet,faucet,57c9713acf2765a13321831d2245cf06,val
ShapeNet,faucet,580ee100add1c4d854d7082b34825ef0,train
ShapeNet,faucet,291eba55363e33cf979c556124bee033,train
ShapeNet,faucet,10fe88cb5484797d664b3b9b23ddfcbc,train
ShapeNet,faucet,684e3d299f3f7910843f813f752a5e35,train
ShapeNet,faucet,f1cc1b5b92f010a73321831d2245cf06,train
ShapeNet,faucet,f705e6e60a4d9ff576c18e71fd49c4dc,train
ShapeNet,faucet,736123b57129c3bc14de2a9aaff52ac7,train
ShapeNet,faucet,e08f50bf9a0b4776b362845c6edb57fc,train
ShapeNet,faucet,b6a1fb06d6658d30c36fb70296e45483,train
ShapeNet,faucet,140f3e225b12062f3321831d2245cf06,train
ShapeNet,faucet,75400f002f5ca46f275e59035e1ccbda,train
ShapeNet,faucet,873b6c2543798e437d6fb76678b5a248,train
ShapeNet,faucet,a9b43b9181475e5b7a867e9b35a1295,train
ShapeNet,faucet,9d5eb12ed318891d2ccf9daeb92717bc,train
ShapeNet,faucet,78c5c2aee9ae697b3321831d2245cf06,train
ShapeNet,faucet,f3f585885793fe4814b35a7d7cea7130,train
ShapeNet,faucet,142ee2de14c410623321831d2245cf06,train
ShapeNet,faucet,bb428566c6138a876c18e71fd49c4dc,train
ShapeNet,faucet,393fa5f93b539b1914b35a7d7cea7130,val
ShapeNet,faucet,5aeed0c9db054c395f12a496ed94ff1d,train
ShapeNet,faucet,6b48e8d129f22956b362845c6edb57fc,train
ShapeNet,faucet,6f954843bec713b6c36fb70296e45483,train
ShapeNet,faucet,e422f89f233787d7b362845c6edb57fc,train
ShapeNet,faucet,de4c1e3e21d5202da7c60f6678573a4,train
ShapeNet,faucet,dda2fa1732a011278b63cb6175467ac9,train
ShapeNet,faucet,45374c209823108c1036b9adf51844e6,test
ShapeNet,faucet,9f4ab72b17226d3d843f813f752a5e35,train
ShapeNet,faucet,1eb80664e450516e2c6c98851414a9d8,train
ShapeNet,faucet,bf4f75844044654076d20e73c57c9a03,train
ShapeNet,faucet,11cae04ea5d825693321831d2245cf06,train
ShapeNet,faucet,bf3e6eca3beeb5e89f5dacf3fb5f1b3,train
ShapeNet,faucet,e7ad0788029da81950da8b99982a3057,train
ShapeNet,faucet,9cc5112d89d6c79720ea64e16f9dc224,train
ShapeNet,faucet,d519321280e573574e65aebfba5f980f,train
ShapeNet,faucet,484b0d59f6954a8854d7082b34825ef0,train
ShapeNet,faucet,d8baf610ba6cc3cf3321831d2245cf06,test
ShapeNet,faucet,9d98b2c3591441a83321831d2245cf06,train
ShapeNet,faucet,70ba2ae5080de487b362845c6edb57fc,test
ShapeNet,faucet,1cc79cefa63fa41d2d3adeba9d9c3aae,train
ShapeNet,faucet,c33c3c63eff994aeb7a867e9b35a1295,train
ShapeNet,faucet,8323ee8eae530a642b3e9b6eb52d35df,train
ShapeNet,faucet,cef466a7a055ea8a15aea01a869de65,train
ShapeNet,faucet,e34fce990f5c1e3bb362845c6edb57fc,test
ShapeNet,faucet,938780d2b2148596bca5df27f3ec6373,train
ShapeNet,faucet,b9aa61770fa227bc6d0157e3e7a8917c,train
ShapeNet,faucet,d1a20d867c2b8f459cd6e2005048d293,train
ShapeNet,faucet,184fdaf0ea2fda9c5dc3653f8341633a,train
ShapeNet,faucet,8a1de547037ee5a4b362845c6edb57fc,train
ShapeNet,faucet,e8d35278a035f50d14b35a7d7cea7130,train
ShapeNet,faucet,3805c03602ebf679c36fb70296e45483,val
ShapeNet,faucet,f884c50c7afb527778d17489f52f679,val
ShapeNet,faucet,6a3bdf75976bcd914b35a7d7cea7130,train
ShapeNet,faucet,1c0b65c18b56fc71a6c6cdd30dc62f82,test
ShapeNet,faucet,d185710a223fc5303321831d2245cf06,train
ShapeNet,faucet,bf4dbc47f8688cf2b362845c6edb57fc,train
ShapeNet,faucet,5c93abb4d8158919c36fb70296e45483,train
ShapeNet,faucet,19ac42daf0dfd5f454d7082b34825ef0,train
ShapeNet,faucet,adbea30c5cb5e4d94a0a22774477f1a9,train
ShapeNet,faucet,22f10b1903b8f285b362845c6edb57fc,train
ShapeNet,faucet,4f3871c661ac8ae6c36fb70296e45483,train
ShapeNet,faucet,98543b751804811c36fb70296e45483,train
